PROJECT_NUM,GROUP_NUMBER 1,GROUP_NUMBER 2,GROUP_NUMBER 3,GROUP_NUMBER 4,GROUP_NUMBER 5,GROUP_NUMBER 6
PROJECT 1,GROUP 1,GROUP 2,,,,
PROJECT 2,,,,,,
PROJECT 3,GROUP 5,,,,,
PROJECT 4,,,,,,
PROJECT 5,,,,,,
PROJECT 6,,,,,,
PROJECT 7,,,,,,
PROJECT 8,,,,,,
PROJECT 9,,,,,,
PROJECT 10,,,,,,
PROJECT 11,,,,,,
PROJECT 12,,,,,,
PROJECT 13,,,,,,
PROJECT 14,,,,,,
PROJECT 15,,,,,,
PROJECT 16,,,,,,
PROJECT 17,,,,,,
PROJECT 18,,,,,,
PROJECT 19,,,,,,
PROJECT 20,,,,,,
PROJECT 21,,,,,,
PROJECT 22,,,,,,
PROJECT 23,,,,,,
PROJECT 24,,,,,,
PROJECT 25,,,,,,
PROJECT 26,,,,,,
PROJECT 27,,,,,,
PROJECT 28,,,,,,
PROJECT 29,,,,,,
PROJECT 30,,,,,,
PROJECT 31,,,,,,
PROJECT 32,,,,,,
PROJECT 33,,,,,,
PROJECT 34,,,,,,
PROJECT 35,,,,,,
PROJECT 36,,,,,,
PROJECT 37,,,,,,
PROJECT 38,,,,,,
PROJECT 39,,,,,,
PROJECT 40,,,,,,
